seq,date,year,status,signature,has_rodo_violation,file
256,2019-04-17,2019,PRAWOMOCNA,ZSOŚS.440.47.2019,0,by-year/2019/2019-04-17__PRAWOMOCNA__ZSOSS.440.47.2019.txt
257,2019-04-25,2019,PRAWOMOCNA,ZSOŚS.440.5.2019,0,by-year/2019/2019-04-25__PRAWOMOCNA__ZSOSS.440.5.2019.txt
258,2019-05-23,2019,PRAWOMOCNA,ZSOŚS.440.50.2019,0,by-year/2019/2019-05-23__PRAWOMOCNA__ZSOSS.440.50.2019.txt
259,2019-06-28,2019,PRAWOMOCNA,ZSOŚS.440.50.2019.II,0,by-year/2019/2019-06-28__PRAWOMOCNA__ZSOSS.440.50.2019.II.txt
260,2019-07-29,2019,PRAWOMOCNA,ZSOŚS.440.55.2019,0,by-year/2019/2019-07-29__PRAWOMOCNA__ZSOSS.440.55.2019.txt
261,2019-07-03,2019,PRAWOMOCNA,ZSOŚS.440.56.2019,0,by-year/2019/2019-07-03__PRAWOMOCNA__ZSOSS.440.56.2019.txt
262,2019-06-14,2019,PRAWOMOCNA,ZSOŚS.440.57.2019,0,by-year/2019/2019-06-14__PRAWOMOCNA__ZSOSS.440.57.2019.txt
263,2019-08-09,2019,PRAWOMOCNA,ZSOŚS.440.60.2019,0,by-year/2019/2019-08-09__PRAWOMOCNA__ZSOSS.440.60.2019.txt
264,2019-07-17,2019,PRAWOMOCNA,ZSOŚS.440.64.2019,0,by-year/2019/2019-07-17__PRAWOMOCNA__ZSOSS.440.64.2019.txt
265,2019-07-18,2019,PRAWOMOCNA,ZSOŚS.440.7.2019,0,by-year/2019/2019-07-18__PRAWOMOCNA__ZSOSS.440.7.2019.txt
266,2019-07-25,2019,PRAWOMOCNA,ZSOŚS.440.71.2019,0,by-year/2019/2019-07-25__PRAWOMOCNA__ZSOSS.440.71.2019.txt
267,2019-09-13,2019,PRAWOMOCNA,ZSOŚS.440.74.2019,0,by-year/2019/2019-09-13__PRAWOMOCNA__ZSOSS.440.74.2019.txt
268,2019-09-11,2019,PRAWOMOCNA,ZSOŚS.440.76.2019,0,by-year/2019/2019-09-11__PRAWOMOCNA__ZSOSS.440.76.2019.txt
269,2019-09-23,2019,PRAWOMOCNA,ZSOŚS.440.82.2019,0,by-year/2019/2019-09-23__PRAWOMOCNA__ZSOSS.440.82.2019.txt
270,2019-06-10,2019,PRAWOMOCNA,ZSOŚS.440.9.2019,0,by-year/2019/2019-06-10__PRAWOMOCNA__ZSOSS.440.9.2019.txt
271,2024-01-17,2024,NIEPRAWOMOCNA,ZSPR.421.2.2019 ZSPR.405.67.2019,1,by-year/2024/2024-01-17__NIEPRAWOMOCNA__ZSPR.421.2.2019_ZSPR.405.67.2019.txt
272,2020-03-09,2020,PRAWOMOCNA,ZSPR.421.19.2019,1,by-year/2020/2020-03-09__PRAWOMOCNA__ZSPR.421.19.2019.txt
273,2019-10-16,2019,PRAWOMOCNA,ZSPR.421.7.2019,1,by-year/2019/2019-10-16__PRAWOMOCNA__ZSPR.421.7.2019.txt
274,2022-07-05,2022,PRAWOMOCNA,ZSPR.440.1055.2019,1,by-year/2022/2022-07-05__PRAWOMOCNA__ZSPR.440.1055.2019.txt
275,2019-03-21,2019,PRAWOMOCNA,ZSPR.440.195.2019,0,by-year/2019/2019-03-21__PRAWOMOCNA__ZSPR.440.195.2019.txt
276,2019-04-25,2019,PRAWOMOCNA,ZSPR.440.43.2019,1,by-year/2019/2019-04-25__PRAWOMOCNA__ZSPR.440.43.2019.txt
277,2019-03-20,2019,PRAWOMOCNA,ZSPR.440.493.2019,0,by-year/2019/2019-03-20__PRAWOMOCNA__ZSPR.440.493.2019.txt
278,2022-02-09,2022,PRAWOMOCNA,ZSPR.440.911.2019,0,by-year/2022/2022-02-09__PRAWOMOCNA__ZSPR.440.911.2019.txt
279,2022-12-30,2022,PRAWOMOCNA,ZSPR.440.963.2019,0,by-year/2022/2022-12-30__PRAWOMOCNA__ZSPR.440.963.2019.txt
280,2019-07-11,2019,PRAWOMOCNA,ZSPR.440.985.2019,0,by-year/2019/2019-07-11__PRAWOMOCNA__ZSPR.440.985.2019.txt
281,2019-10-18,2019,PRAWOMOCNA,ZSPU.421.3.2019,1,by-year/2019/2019-10-18__PRAWOMOCNA__ZSPU.421.3.2019.txt
282,2019-04-16,2019,PRAWOMOCNA,ZSPU.440.131.2019,0,by-year/2019/2019-04-16__PRAWOMOCNA__ZSPU.440.131.2019.txt
283,2019-04-15,2019,PRAWOMOCNA,ZSPU.440.146.2019,0,by-year/2019/2019-04-15__PRAWOMOCNA__ZSPU.440.146.2019.txt
284,2019-04-18,2019,PRAWOMOCNA,ZSPU.440.153.2019,0,by-year/2019/2019-04-18__PRAWOMOCNA__ZSPU.440.153.2019.txt
285,2019-05-17,2019,PRAWOMOCNA,ZSPU.440.156.2019,0,by-year/2019/2019-05-17__PRAWOMOCNA__ZSPU.440.156.2019.txt
286,2019-04-15,2019,NIEPRAWOMOCNA,ZSPU.440.200.2019,0,by-year/2019/2019-04-15__NIEPRAWOMOCNA__ZSPU.440.200.2019.txt
287,2019-10-08,2019,PRAWOMOCNA,ZSPU.440.296.2019,1,by-year/2019/2019-10-08__PRAWOMOCNA__ZSPU.440.296.2019.txt
288,2019-08-20,2019,PRAWOMOCNA,ZSPU.440.486.2019,0,by-year/2019/2019-08-20__PRAWOMOCNA__ZSPU.440.486.2019.txt
289,2019-04-16,2019,PRAWOMOCNA,ZSPU.440.71.2019.II,0,by-year/2019/2019-04-16__PRAWOMOCNA__ZSPU.440.71.2019.II.txt
290,2019-06-17,2019,PRAWOMOCNA,ZSZZS.440.108.2019,0,by-year/2019/2019-06-17__PRAWOMOCNA__ZSZZS.440.108.2019.txt
291,2019-06-17,2019,PRAWOMOCNA,ZSZZS.440.50.2019,0,by-year/2019/2019-06-17__PRAWOMOCNA__ZSZZS.440.50.2019.txt
292,2020-09-22,2020,NIEPRAWOMOCNA,ZWAD.405.31.331.2019,1,by-year/2020/2020-09-22__NIEPRAWOMOCNA__ZWAD.405.31.331.2019.txt
293,2022-05-16,2022,PRAWOMOCNA,ZWOS.440.3951.2019,1,by-year/2022/2022-05-16__PRAWOMOCNA__ZWOS.440.3951.2019.txt
294,2020-05-29,2020,PRAWOMOCNA,DKE.561.1.2020,1,by-year/2020/2020-05-29__PRAWOMOCNA__DKE.561.1.2020.txt
295,2020-12-29,2020,PRAWOMOCNA,DKE.561.10.2020,1,by-year/2020/2020-12-29__PRAWOMOCNA__DKE.561.10.2020.txt
296,2021-01-05,2021,NIEPRAWOMOCNA,DKE.561.11.2020,0,by-year/2021/2021-01-05__NIEPRAWOMOCNA__DKE.561.11.2020.txt
297,2020-12-04,2020,PRAWOMOCNA,DKE.561.12.2020,1,by-year/2020/2020-12-04__PRAWOMOCNA__DKE.561.12.2020.txt
298,2020-12-09,2020,PRAWOMOCNA,DKE.561.13.2020,1,by-year/2020/2020-12-09__PRAWOMOCNA__DKE.561.13.2020.txt
299,2020-12-04,2020,PRAWOMOCNA,DKE.561.14.2020,1,by-year/2020/2020-12-04__PRAWOMOCNA__DKE.561.14.2020.txt
300,2020-12-04,2020,PRAWOMOCNA,DKE.561.15.2020,1,by-year/2020/2020-12-04__PRAWOMOCNA__DKE.561.15.2020.txt
301,2021-01-05,2021,PRAWOMOCNA,DKE.561.16.2020,1,by-year/2021/2021-01-05__PRAWOMOCNA__DKE.561.16.2020.txt
302,2020-12-18,2020,PRAWOMOCNA,DKE.561.17.2020,1,by-year/2020/2020-12-18__PRAWOMOCNA__DKE.561.17.2020.txt
303,2020-06-03,2020,PRAWOMOCNA,DKE.561.2.2020,1,by-year/2020/2020-06-03__PRAWOMOCNA__DKE.561.2.2020.txt
304,2020-11-26,2020,PRAWOMOCNA,DKE.561.20.2020,1,by-year/2020/2020-11-26__PRAWOMOCNA__DKE.561.20.2020.txt
305,2020-11-19,2020,PRAWOMOCNA,DKE.561.21.2020,1,by-year/2020/2020-11-19__PRAWOMOCNA__DKE.561.21.2020.txt
306,2021-03-19,2021,PRAWOMOCNA,DKE.561.22.2020,1,by-year/2021/2021-03-19__PRAWOMOCNA__DKE.561.22.2020.txt
307,2021-04-27,2021,PRAWOMOCNA,DKE.561.23.2020,1,by-year/2021/2021-04-27__PRAWOMOCNA__DKE.561.23.2020.txt
308,2020-12-16,2020,PRAWOMOCNA,DKE.561.24.2020,1,by-year/2020/2020-12-16__PRAWOMOCNA__DKE.561.24.2020.txt
309,2021-03-19,2021,PRAWOMOCNA,DKE.561.25.2020,1,by-year/2021/2021-03-19__PRAWOMOCNA__DKE.561.25.2020.txt
310,2022-07-05,2022,PRAWOMOCNA,DKE.561.27.2020,1,by-year/2022/2022-07-05__PRAWOMOCNA__DKE.561.27.2020.txt
311,2021-09-01,2021,PRAWOMOCNA,DKE.561.28.2020,1,by-year/2021/2021-09-01__PRAWOMOCNA__DKE.561.28.2020.txt
312,2020-07-02,2020,PRAWOMOCNA,DKE.561.3.2020,1,by-year/2020/2020-07-02__PRAWOMOCNA__DKE.561.3.2020.txt
313,2020-09-23,2020,PRAWOMOCNA,DKE.561.4.2020,1,by-year/2020/2020-09-23__PRAWOMOCNA__DKE.561.4.2020.txt
314,2020-09-09,2020,PRAWOMOCNA,DKE.561.5.2020,1,by-year/2020/2020-09-09__PRAWOMOCNA__DKE.561.5.2020.txt
315,2020-09-09,2020,PRAWOMOCNA,DKE.561.6.2020,1,by-year/2020/2020-09-09__PRAWOMOCNA__DKE.561.6.2020.txt
316,2021-03-01,2021,PRAWOMOCNA,DKE.561.8.2020,1,by-year/2021/2021-03-01__PRAWOMOCNA__DKE.561.8.2020.txt
317,2020-12-04,2020,PRAWOMOCNA,DKE.561.9.2020,1,by-year/2020/2020-12-04__PRAWOMOCNA__DKE.561.9.2020.txt
318,2020-11-12,2020,PRAWOMOCNA,DKN.5101.25.2020,1,by-year/2020/2020-11-12__PRAWOMOCNA__DKN.5101.25.2020.txt
319,2020-12-03,2020,NIEPRAWOMOCNA,DKN.5112.1.2020,1,by-year/2020/2020-12-03__NIEPRAWOMOCNA__DKN.5112.1.2020.txt
320,2020-08-24,2020,PRAWOMOCNA,DKN.5112.13.2020,1,by-year/2020/2020-08-24__PRAWOMOCNA__DKN.5112.13.2020.txt
321,2025-07-23,2025,NIEPRAWOMOCNA,DKN.5112.6.2020,1,by-year/2025/2025-07-23__NIEPRAWOMOCNA__DKN.5112.6.2020.txt
322,2020-06-30,2020,PRAWOMOCNA,DKN.5112.7.2020,1,by-year/2020/2020-06-30__PRAWOMOCNA__DKN.5112.7.2020.txt
323,2020-12-17,2020,NIEPRAWOMOCNA,DKN.5130.1354.2020,1,by-year/2020/2020-12-17__NIEPRAWOMOCNA__DKN.5130.1354.2020.txt
324,2021-02-11,2021,NIEPRAWOMOCNA,DKN.5130.2024.2020,1,by-year/2021/2021-02-11__NIEPRAWOMOCNA__DKN.5130.2024.2020.txt
325,2022-01-22,2022,NIEPRAWOMOCNA,DKN.5130.2215.2020,1,by-year/2022/2022-01-22__NIEPRAWOMOCNA__DKN.5130.2215.2020.txt
326,2024-11-12,2024,PRAWOMOCNA,DKN.5130.2415.2020,1,by-year/2024/2024-11-12__PRAWOMOCNA__DKN.5130.2415.2020.txt
327,2021-01-11,2021,PRAWOMOCNA,DKN.5130.2815.2020,1,by-year/2021/2021-01-11__PRAWOMOCNA__DKN.5130.2815.2020.txt
328,2021-04-22,2021,NIEPRAWOMOCNA,DKN.5130.3114.2020,1,by-year/2021/2021-04-22__NIEPRAWOMOCNA__DKN.5130.3114.2020.txt
329,2021-06-08,2021,NIEPRAWOMOCNA,DKN.5131.10.2020,0,by-year/2021/2021-06-08__NIEPRAWOMOCNA__DKN.5131.10.2020.txt
330,2021-06-30,2021,NIEPRAWOMOCNA,DKN.5131.11.2020,1,by-year/2021/2021-06-30__NIEPRAWOMOCNA__DKN.5131.11.2020.txt
331,2023-01-19,2023,NIEPRAWOMOCNA,DKN.5131.12.2020,1,by-year/2023/2023-01-19__NIEPRAWOMOCNA__DKN.5131.12.2020.txt
332,2020-12-09,2020,PRAWOMOCNA,DKN.5131.5.2020,1,by-year/2020/2020-12-09__PRAWOMOCNA__DKN.5131.5.2020.txt
333,2021-01-05,2021,PRAWOMOCNA,DKN.5131.6.2020,1,by-year/2021/2021-01-05__PRAWOMOCNA__DKN.5131.6.2020.txt
334,2021-01-11,2021,PRAWOMOCNA,DKN.5131.7.2020,1,by-year/2021/2021-01-11__PRAWOMOCNA__DKN.5131.7.2020.txt
335,2022-01-10,2022,PRAWOMOCNA,DS.523.3629.2020,0,by-year/2022/2022-01-10__PRAWOMOCNA__DS.523.3629.2020.txt
336,2022-07-05,2022,PRAWOMOCNA,DS.523.4158.2020,0,by-year/2022/2022-07-05__PRAWOMOCNA__DS.523.4158.2020.txt
337,2022-10-19,2022,PRAWOMOCNA,DS.523.4826.2020,0,by-year/2022/2022-10-19__PRAWOMOCNA__DS.523.4826.2020.txt
338,2021-04-21,2021,PRAWOMOCNA,DKE.440.28.2021,0,by-year/2021/2021-04-21__PRAWOMOCNA__DKE.440.28.2021.txt
339,2021-04-14,2021,PRAWOMOCNA,DKE.523.1.2021,0,by-year/2021/2021-04-14__PRAWOMOCNA__DKE.523.1.2021.txt
340,2021-04-15,2021,PRAWOMOCNA,DKE.523.10.2021,0,by-year/2021/2021-04-15__PRAWOMOCNA__DKE.523.10.2021.txt
341,2021-05-21,2021,PRAWOMOCNA,DKE.523.11.2021,0,by-year/2021/2021-05-21__PRAWOMOCNA__DKE.523.11.2021.txt
342,2023-01-18,2023,PRAWOMOCNA,DKE.523.13.2021,0,by-year/2023/2023-01-18__PRAWOMOCNA__DKE.523.13.2021.txt
343,2022-05-20,2022,PRAWOMOCNA,DKE.523.16.2021,0,by-year/2022/2022-05-20__PRAWOMOCNA__DKE.523.16.2021.txt
344,2021-08-24,2021,PRAWOMOCNA,DKE.523.18.2021,0,by-year/2021/2021-08-24__PRAWOMOCNA__DKE.523.18.2021.txt
345,2021-12-10,2021,PRAWOMOCNA,DKE.523.19.2021,0,by-year/2021/2021-12-10__PRAWOMOCNA__DKE.523.19.2021.txt
346,2022-03-18,2022,PRAWOMOCNA,DKE.523.2.2021,0,by-year/2022/2022-03-18__PRAWOMOCNA__DKE.523.2.2021.txt
347,2021-09-03,2021,PRAWOMOCNA,DKE.523.20.2021,0,by-year/2021/2021-09-03__PRAWOMOCNA__DKE.523.20.2021.txt
348,2022-12-13,2022,PRAWOMOCNA,DKE.523.21.2021,0,by-year/2022/2022-12-13__PRAWOMOCNA__DKE.523.21.2021.txt
349,2021-09-10,2021,PRAWOMOCNA,DKE.523.22.2021,0,by-year/2021/2021-09-10__PRAWOMOCNA__DKE.523.22.2021.txt
350,2021-09-13,2021,PRAWOMOCNA,DKE.523.23.2021,0,by-year/2021/2021-09-13__PRAWOMOCNA__DKE.523.23.2021.txt
351,2023-03-01,2023,PRAWOMOCNA,DKE.523.24.2021,0,by-year/2023/2023-03-01__PRAWOMOCNA__DKE.523.24.2021.txt
352,2021-12-03,2021,PRAWOMOCNA,DKE.523.25.2021,0,by-year/2021/2021-12-03__PRAWOMOCNA__DKE.523.25.2021.txt
353,2021-09-24,2021,PRAWOMOCNA,DKE.523.26.2021,0,by-year/2021/2021-09-24__PRAWOMOCNA__DKE.523.26.2021.txt
354,2021-07-01,2021,PRAWOMOCNA,DKE.523.29.2021,0,by-year/2021/2021-07-01__PRAWOMOCNA__DKE.523.29.2021.txt
355,2021-03-05,2021,PRAWOMOCNA,DKE.523.3.2021,0,by-year/2021/2021-03-05__PRAWOMOCNA__DKE.523.3.2021.txt
356,2021-07-23,2021,PRAWOMOCNA,DKE.523.30.2021,0,by-year/2021/2021-07-23__PRAWOMOCNA__DKE.523.30.2021.txt
357,2021-11-26,2021,PRAWOMOCNA,DKE.523.32.2021,0,by-year/2021/2021-11-26__PRAWOMOCNA__DKE.523.32.2021.txt
358,2021-09-17,2021,PRAWOMOCNA,DKE.523.33.2021,0,by-year/2021/2021-09-17__PRAWOMOCNA__DKE.523.33.2021.txt
359,2023-03-23,2023,PRAWOMOCNA,DKE.523.34.2021,0,by-year/2023/2023-03-23__PRAWOMOCNA__DKE.523.34.2021.txt
360,2022-09-16,2022,PRAWOMOCNA,DKE.523.36.2021,0,by-year/2022/2022-09-16__PRAWOMOCNA__DKE.523.36.2021.txt
361,2022-04-22,2022,PRAWOMOCNA,DKE.523.37.2021,0,by-year/2022/2022-04-22__PRAWOMOCNA__DKE.523.37.2021.txt
362,2021-09-15,2021,PRAWOMOCNA,DKE.523.38.2021,0,by-year/2021/2021-09-15__PRAWOMOCNA__DKE.523.38.2021.txt
363,2021-07-26,2021,PRAWOMOCNA,DKE.523.39.2021,0,by-year/2021/2021-07-26__PRAWOMOCNA__DKE.523.39.2021.txt
364,2021-10-04,2021,PRAWOMOCNA,DKE.523.4.2021,0,by-year/2021/2021-10-04__PRAWOMOCNA__DKE.523.4.2021.txt
365,2022-12-15,2022,PRAWOMOCNA,DKE.523.41.2021,0,by-year/2022/2022-12-15__PRAWOMOCNA__DKE.523.41.2021.txt
366,2021-05-28,2021,PRAWOMOCNA,DKE.523.5.2021,0,by-year/2021/2021-05-28__PRAWOMOCNA__DKE.523.5.2021.txt
367,2021-03-05,2021,PRAWOMOCNA,DKE.523.6.2021,0,by-year/2021/2021-03-05__PRAWOMOCNA__DKE.523.6.2021.txt
368,2021-04-09,2021,PRAWOMOCNA,DKE.523.7.2021,0,by-year/2021/2021-04-09__PRAWOMOCNA__DKE.523.7.2021.txt
369,2021-04-09,2021,PRAWOMOCNA,DKE.523.8.2021,0,by-year/2021/2021-04-09__PRAWOMOCNA__DKE.523.8.2021.txt
370,2021-04-14,2021,PRAWOMOCNA,DKE.523.9.2021,0,by-year/2021/2021-04-14__PRAWOMOCNA__DKE.523.9.2021.txt
371,2021-12-31,2021,PRAWOMOCNA,DKE.561.1.2021,1,by-year/2021/2021-12-31__PRAWOMOCNA__DKE.561.1.2021.txt
372,2022-01-13,2022,PRAWOMOCNA,DKE.561.10.2021,1,by-year/2022/2022-01-13__PRAWOMOCNA__DKE.561.10.2021.txt
373,2022-02-04,2022,PRAWOMOCNA,DKE.561.11.2021,1,by-year/2022/2022-02-04__PRAWOMOCNA__DKE.561.11.2021.txt
374,2021-09-07,2021,PRAWOMOCNA,DKE.561.12.2021,1,by-year/2021/2021-09-07__PRAWOMOCNA__DKE.561.12.2021.txt
375,2021-12-22,2021,PRAWOMOCNA,DKE.561.13.2021,1,by-year/2021/2021-12-22__PRAWOMOCNA__DKE.561.13.2021.txt
376,2022-01-19,2022,PRAWOMOCNA,DKE.561.14.2021,1,by-year/2022/2022-01-19__PRAWOMOCNA__DKE.561.14.2021.txt
377,2022-10-05,2022,PRAWOMOCNA,DKE.561.15.2021,1,by-year/2022/2022-10-05__PRAWOMOCNA__DKE.561.15.2021.txt
378,2021-12-01,2021,PRAWOMOCNA,DKE.561.16.2021,1,by-year/2021/2021-12-01__PRAWOMOCNA__DKE.561.16.2021.txt
379,2021-08-31,2021,PRAWOMOCNA,DKE.561.17.2021,1,by-year/2021/2021-08-31__PRAWOMOCNA__DKE.561.17.2021.txt
380,2022-03-23,2022,PRAWOMOCNA,DKE.561.18.2021,1,by-year/2022/2022-03-23__PRAWOMOCNA__DKE.561.18.2021.txt
381,2021-12-23,2021,PRAWOMOCNA,DKE.561.19.2021,1,by-year/2021/2021-12-23__PRAWOMOCNA__DKE.561.19.2021.txt
382,2021-03-26,2021,PRAWOMOCNA,DKE.561.2.2021,0,by-year/2021/2021-03-26__PRAWOMOCNA__DKE.561.2.2021.txt
383,2022-12-16,2022,PRAWOMOCNA,DKE.561.20.2021,1,by-year/2022/2022-12-16__PRAWOMOCNA__DKE.561.20.2021.txt
384,2021-09-02,2021,PRAWOMOCNA,DKE.561.21.2021,1,by-year/2021/2021-09-02__PRAWOMOCNA__DKE.561.21.2021.txt
385,2021-09-06,2021,PRAWOMOCNA,DKE.561.22.2021,1,by-year/2021/2021-09-06__PRAWOMOCNA__DKE.561.22.2021.txt
386,2022-08-18,2022,PRAWOMOCNA,DKE.561.23.2021,1,by-year/2022/2022-08-18__PRAWOMOCNA__DKE.561.23.2021.txt
387,2022-01-20,2022,PRAWOMOCNA,DKE.561.24.2021,1,by-year/2022/2022-01-20__PRAWOMOCNA__DKE.561.24.2021.txt
388,2022-08-30,2022,PRAWOMOCNA,DKE.561.25.2021,1,by-year/2022/2022-08-30__PRAWOMOCNA__DKE.561.25.2021.txt
389,2022-12-02,2022,PRAWOMOCNA,DKE.561.26.2021,0,by-year/2022/2022-12-02__PRAWOMOCNA__DKE.561.26.2021.txt
390,2021-04-15,2021,PRAWOMOCNA,DKE.561.3.2021,1,by-year/2021/2021-04-15__PRAWOMOCNA__DKE.561.3.2021.txt
391,2022-01-26,2022,PRAWOMOCNA,DKE.561.4.2021,1,by-year/2022/2022-01-26__PRAWOMOCNA__DKE.561.4.2021.txt
392,2021-07-01,2021,PRAWOMOCNA,DKE.561.8.2021,0,by-year/2021/2021-07-01__PRAWOMOCNA__DKE.561.8.2021.txt
393,2021-10-07,2021,PRAWOMOCNA,DKE.561.9.2021,1,by-year/2021/2021-10-07__PRAWOMOCNA__DKE.561.9.2021.txt
394,2022-06-06,2022,PRAWOMOCNA,DKN.5110.12.2021,1,by-year/2022/2022-06-06__PRAWOMOCNA__DKN.5110.12.2021.txt
395,2024-05-20,2024,NIEPRAWOMOCNA,DKN.5112.35.2021,1,by-year/2024/2024-05-20__NIEPRAWOMOCNA__DKN.5112.35.2021.txt
396,2022-11-30,2022,NIEPRAWOMOCNA,DKN.5112.5.2021,1,by-year/2022/2022-11-30__NIEPRAWOMOCNA__DKN.5112.5.2021.txt
397,2024-10-09,2024,NIEPRAWOMOCNA,DKN.5131.1.2021,1,by-year/2024/2024-10-09__NIEPRAWOMOCNA__DKN.5131.1.2021.txt
398,2022-05-25,2022,PRAWOMOCNA,DKN.5131.14.2021,1,by-year/2022/2022-05-25__PRAWOMOCNA__DKN.5131.14.2021.txt
399,2021-10-14,2021,NIEPRAWOMOCNA,DKN.5131.16.2021,1,by-year/2021/2021-10-14__NIEPRAWOMOCNA__DKN.5131.16.2021.txt
400,2021-07-13,2021,PRAWOMOCNA,DKN.5131.22.2021,1,by-year/2021/2021-07-13__PRAWOMOCNA__DKN.5131.22.2021.txt
401,2021-06-21,2021,NIEPRAWOMOCNA,DKN.5131.3.2021,1,by-year/2021/2021-06-21__NIEPRAWOMOCNA__DKN.5131.3.2021.txt
402,2023-02-07,2023,PRAWOMOCNA,DKN.5131.31.2021,1,by-year/2023/2023-02-07__PRAWOMOCNA__DKN.5131.31.2021.txt
403,2022-01-19,2022,NIEPRAWOMOCNA,DKN.5131.33.2021,1,by-year/2022/2022-01-19__NIEPRAWOMOCNA__DKN.5131.33.2021.txt
404,2022-07-06,2022,PRAWOMOCNA,DKN.5131.34.2021,1,by-year/2022/2022-07-06__PRAWOMOCNA__DKN.5131.34.2021.txt
405,2024-10-10,2024,PRAWOMOCNA,DKN.5131.35.2021,1,by-year/2024/2024-10-10__PRAWOMOCNA__DKN.5131.35.2021.txt
406,2023-03-01,2023,NIEPRAWOMOCNA,DKN.5131.49.2021,1,by-year/2023/2023-03-01__NIEPRAWOMOCNA__DKN.5131.49.2021.txt
407,2023-02-08,2023,PRAWOMOCNA,DKN.5131.50.2021,1,by-year/2023/2023-02-08__PRAWOMOCNA__DKN.5131.50.2021.txt
408,2024-01-18,2024,PRAWOMOCNA,DKN.5131.53.2021,1,by-year/2024/2024-01-18__PRAWOMOCNA__DKN.5131.53.2021.txt
409,2022-06-14,2022,PRAWOMOCNA,DKN.5131.56.2021,1,by-year/2022/2022-06-14__PRAWOMOCNA__DKN.5131.56.2021.txt
410,2023-05-31,2023,PRAWOMOCNA,DKN.5131.8.2021,1,by-year/2023/2023-05-31__PRAWOMOCNA__DKN.5131.8.2021.txt
411,2022-03-02,2022,PRAWOMOCNA,DS.523.1235.2021,1,by-year/2022/2022-03-02__PRAWOMOCNA__DS.523.1235.2021.txt
412,2022-01-24,2022,PRAWOMOCNA,DS.523.2332.2021,0,by-year/2022/2022-01-24__PRAWOMOCNA__DS.523.2332.2021.txt
413,2022-05-30,2022,PRAWOMOCNA,DS.523.399.2021,1,by-year/2022/2022-05-30__PRAWOMOCNA__DS.523.399.2021.txt
414,2022-06-14,2022,PRAWOMOCNA,DS.523.6339.2021,0,by-year/2022/2022-06-14__PRAWOMOCNA__DS.523.6339.2021.txt
415,2022-04-27,2022,PRAWOMOCNA,DS.523.7376.2021,1,by-year/2022/2022-04-27__PRAWOMOCNA__DS.523.7376.2021.txt
416,2022-07-13,2022,PRAWOMOCNA,DS.523.7988.2021,1,by-year/2022/2022-07-13__PRAWOMOCNA__DS.523.7988.2021.txt
417,2022-07-22,2022,PRAWOMOCNA,DKE.561.1.2022,1,by-year/2022/2022-07-22__PRAWOMOCNA__DKE.561.1.2022.txt
418,2022-12-30,2022,PRAWOMOCNA,DKE.561.10.2022,1,by-year/2022/2022-12-30__PRAWOMOCNA__DKE.561.10.2022.txt
419,2022-07-26,2022,PRAWOMOCNA,DKE.561.12.2022,1,by-year/2022/2022-07-26__PRAWOMOCNA__DKE.561.12.2022.txt
420,2022-05-13,2022,PRAWOMOCNA,DKE.561.13.2022,1,by-year/2022/2022-05-13__PRAWOMOCNA__DKE.561.13.2022.txt
421,2022-06-03,2022,PRAWOMOCNA,DKE.561.14.2022,1,by-year/2022/2022-06-03__PRAWOMOCNA__DKE.561.14.2022.txt
422,2022-07-06,2022,PRAWOMOCNA,DKE.561.15.2022,1,by-year/2022/2022-07-06__PRAWOMOCNA__DKE.561.15.2022.txt
423,2022-07-29,2022,PRAWOMOCNA,DKE.561.16.2022,1,by-year/2022/2022-07-29__PRAWOMOCNA__DKE.561.16.2022.txt
424,2022-09-19,2022,PRAWOMOCNA,DKE.561.17.2022,1,by-year/2022/2022-09-19__PRAWOMOCNA__DKE.561.17.2022.txt
425,2022-12-30,2022,PRAWOMOCNA,DKE.561.18.2022,1,by-year/2022/2022-12-30__PRAWOMOCNA__DKE.561.18.2022.txt
426,2022-08-31,2022,PRAWOMOCNA,DKE.561.19.2022,1,by-year/2022/2022-08-31__PRAWOMOCNA__DKE.561.19.2022.txt
427,2022-12-30,2022,PRAWOMOCNA,DKE.561.20.2022,1,by-year/2022/2022-12-30__PRAWOMOCNA__DKE.561.20.2022.txt
428,2022-10-28,2022,PRAWOMOCNA,DKE.561.21.2022,1,by-year/2022/2022-10-28__PRAWOMOCNA__DKE.561.21.2022.txt
429,2022-09-27,2022,PRAWOMOCNA,DKE.561.22.2022,1,by-year/2022/2022-09-27__PRAWOMOCNA__DKE.561.22.2022.txt
430,2022-09-22,2022,PRAWOMOCNA,DKE.561.23.2022,1,by-year/2022/2022-09-22__PRAWOMOCNA__DKE.561.23.2022.txt
431,2023-01-25,2023,PRAWOMOCNA,DKE.561.24.2022,1,by-year/2023/2023-01-25__PRAWOMOCNA__DKE.561.24.2022.txt
432,2022-12-13,2022,PRAWOMOCNA,DKE.561.25.2022,1,by-year/2022/2022-12-13__PRAWOMOCNA__DKE.561.25.2022.txt
433,2022-12-19,2022,PRAWOMOCNA,DKE.561.26.2022,1,by-year/2022/2022-12-19__PRAWOMOCNA__DKE.561.26.2022.txt
434,2022-12-02,2022,PRAWOMOCNA,DKE.561.27.2022,1,by-year/2022/2022-12-02__PRAWOMOCNA__DKE.561.27.2022.txt
435,2022-11-07,2022,PRAWOMOCNA,DKE.561.28.2022,0,by-year/2022/2022-11-07__PRAWOMOCNA__DKE.561.28.2022.txt
